Date,Time (UTC),rad(m)
2020-08-22,2020-08-22 11:59:30.000000000,-0.13160069444444436
2020-08-23,2020-08-23 11:59:30.000000000,-0.05089027777777773
2020-08-24,2020-08-24 11:59:30.000000000,-0.0715854166666666
2020-08-25,2020-08-25 11:59:30.000000000,-0.06492430555555549
2020-08-26,2020-08-26 11:59:30.000000000,-0.11078124999999993
2020-08-27,2020-08-27 11:59:30.000000000,-0.13401111111111103
2020-08-28,2020-08-28 11:59:30.000000000,-0.0986416666666666
2020-08-29,2020-08-29 11:59:30.000000000,-0.10374374999999994
2020-08-30,2020-08-30 11:44:17.608695808,-0.11277468046780052
2020-08-31,2020-08-31 11:59:35.958188032,-0.14174100569634893
2020-09-01,2020-09-01 11:59:30.000000000,-0.14930416666666685
2020-09-02,2020-09-02 11:59:30.000000000,-0.16226319444444462
2020-09-03,2020-09-03 11:59:30.000000000,-0.1207770833333335
2020-09-04,2020-09-04 11:52:27.407931904,-0.1342071196475052
2020-09-05,2020-09-05 11:49:40.699001344,-0.1195420156095253
2020-09-06,2020-09-06 11:59:28.111888128,-0.11433248457501913
2020-09-07,2020-09-07 11:59:30.000000000,-0.14783819444444463
2020-09-08,2020-09-08 11:59:30.000000000,-0.13026458333333352
2020-09-09,2020-09-09 11:59:30.000000000,-0.12661875000000017
2020-09-10,2020-09-10 11:59:30.000000000,-0.14430902777777796
2020-09-11,2020-09-11 12:48:31.145038080,-0.11926294117731094
2020-09-12,2020-09-12 11:59:30.000000000,-0.1736208333333335
2020-09-13,2020-09-13 11:59:30.000000000,-0.19159305555555572
2020-09-14,2020-09-14 12:01:46.411149824,-0.20017960032831975
2020-09-15,2020-09-15 11:59:30.000000000,-0.21508680555555573
2020-09-16,2020-09-16 11:59:30.000000000,-0.13451944444444464
2020-09-17,2020-09-17 11:59:30.000000000,-0.07769027777777796
2020-09-18,2020-09-18 11:59:30.000000000,-0.03745694444444461
2020-09-19,2020-09-19 11:57:12.167832320,-0.048343673386207944
2020-09-20,2020-09-20 11:59:30.000000000,0.003322916666666493
2020-09-21,2020-09-21 12:02:58.442136576,-0.0578303150677936
2020-09-22,2020-09-22 11:52:01.788502528,-0.03951286895365011
2020-09-23,2020-09-23 12:00:01.045296128,-0.06541792785445212
2020-09-24,2020-09-24 11:59:30.000000000,-0.08143958333333352
2020-09-25,2020-09-25 11:57:17.202797312,-0.10923458247711704
2020-09-26,2020-09-26 11:59:30.000000000,-0.11605625000000017
2020-09-27,2020-09-27 11:55:34.508427008,-0.13619835178530712
2020-09-28,2020-09-28 11:51:31.914893568,-0.1258874885296678
2020-09-29,2020-09-29 11:59:30.000000000,-0.12279097222222239
2020-09-30,2020-09-30 11:59:30.000000000,-0.12845069444444462
2020-10-01,2020-10-01 11:59:30.000000000,-0.2317548611111114
2020-10-02,2020-10-02 11:59:30.000000000,-0.23232916666666698
2020-10-03,2020-10-03 11:59:30.000000000,-0.2467097222222225
2020-10-04,2020-10-04 10:53:22.808378624,-0.18066531988364243
2020-10-05,2020-10-05 12:53:00.186190848,-0.30529548900418524
2020-10-06,2020-10-06 11:59:30.000000000,-0.3078930555555558
2020-10-07,2020-10-07 11:59:30.000000000,-0.30032986111111143
2020-10-08,2020-10-08 11:59:30.000000000,-0.34447013888888917
2020-10-09,2020-10-09 11:59:30.000000000,-0.33717083333333364
2020-10-10,2020-10-10 11:59:30.000000000,-0.27919930555555583
2020-10-11,2020-10-11 11:47:39.070764800,-0.3286782234914619
2020-10-12,2020-10-12 11:59:30.000000000,-0.2952500000000003
2020-10-13,2020-10-13 11:59:30.000000000,-0.27456180555555587
2020-10-14,2020-10-14 11:59:30.000000000,-0.32430416666666695
2020-10-15,2020-10-15 11:59:30.000000000,-0.29975555555555583
2020-10-16,2020-10-16 11:59:30.000000000,-0.2732013888888892
2020-10-17,2020-10-17 11:59:30.000000000,-0.24802777777777807
2020-10-18,2020-10-18 11:58:38.257839872,-0.2481112826943313
2020-10-19,2020-10-19 11:59:30.000000000,-0.19184791666666695
2020-10-20,2020-10-20 11:59:30.000000000,-0.19652291666666694
2020-10-21,2020-10-21 11:58:06.898954752,-0.22163114332150896
2020-10-22,2020-10-22 11:59:30.000000000,-0.1946923611111114
2020-10-23,2020-10-23 11:59:30.000000000,-0.13922430555555584
2020-10-24,2020-10-24 11:59:30.000000000,-0.11536944444444472
2020-10-25,2020-10-25 12:16:16.168691968,-0.0819553433387564
2020-10-26,2020-10-26 11:59:30.000000000,-0.08663055555555585
